路線ID,路線コード,路線名_日本語,路線名_英語,駅ID,駅コード,駅の並び,駅名_日本語,駅名_英語,エレベータID,停止階,設置場所,緯度,経度,重量制限,点検時間帯,点検日,点検開始時間,点検終了時間,バリアフリー1ルート用
Toei.Mita,I,三田線,Mita Line,Toei.Mita.Nishidai,I-24,24,西台,Nishidai,I-24_02,1F～2F,改札口～２番線ホーム,,,750,daytime,2023/1/11,10:00,16:00,TRUE
Toei.Mita,I,三田線,Mita Line,Toei.Mita.Takashimadaira,I-25,25,高島平,Takashimadaira,I-25_01,1F～2F,改札口～１・２番線ホーム,,,750,daytime,2023/1/20,10:00,16:00,TRUE
Toei.Mita,I,三田線,Mita Line,Toei.Mita.Takashimadaira,I-25,25,高島平,Takashimadaira,I-25_02,1F～2F,改札口～３・４番線ホーム,,,750,daytime,2023/1/20,10:00,16:00,TRUE
Toei.Mita,I,三田線,Mita Line,Toei.Mita.ShinTakashimadaira,I-26,26,新高島平,Shin-takashimadaira,I-26_01,1F～2F,改札口～１番線ホーム,,,750,daytime,2023/1/10,10:00,16:00,TRUE
Toei.Mita,I,三田線,Mita Line,Toei.Mita.ShinTakashimadaira,I-26,26,新高島平,Shin-takashimadaira,I-26_02,1F～2F,改札口～２番線ホーム,,,750,daytime,2023/1/10,10:00,16:00,TRUE
Toei.Mita,I,三田線,Mita Line,Toei.Mita.NishiTakashimadaira,I-27,27,西高島平,Nishi-takashimadaira,I-27_01,1F～2F,改札口～１番線ホーム,,,750,daytime,2023/1/10,10:00,16:00,TRUE
Toei.Mita,I,三田線,Mita Line,Toei.Mita.NishiTakashimadaira,I-27,27,西高島平,Nishi-takashimadaira,I-27_02,1F～2F,改札口～２番線ホーム,,,750,daytime,2023/1/10,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.ShinjukuSanchome,S-02,2,新宿三丁目,Shinjuku-sanchome,S-02_01,1F～B1F,C6地上出入口～改札口,,,750,daytime,2023/1/20,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.ShinjukuSanchome,S-02,2,新宿三丁目,Shinjuku-sanchome,S-02_02,B1F～B3F,改札口～ホーム,,,750,daytime,2023/1/30,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Akebonobashi,S-03,3,曙橋,Akebonobashi,S-03_01,1F～B1F,A3地上出入口～改札口,,,750,daytime,2023/1/23,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Akebonobashi,S-03,3,曙橋,Akebonobashi,S-03_02,B1F～B2F,改札口～１番線ホーム,,,750,daytime,2023/1/23,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Akebonobashi,S-03,3,曙橋,Akebonobashi,S-03_03,B1F～B2F,改札口～２番線ホーム,,,750,daytime,2023/1/23,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Ichigaya,S-04,4,市ヶ谷,Ichigaya,S-04_01,1F～B1F,A1地上出入口～改札口,,,750,daytime,2023/1/30,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Ichigaya,S-04,4,市ヶ谷,Ichigaya,S-04_02,B1F～B3F,改札口～２番線ホーム,,,600,daytime,2023/1/30,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Ichigaya,S-04,4,市ヶ谷,Ichigaya,S-04_03,B1F～B3F,改札口～１番線ホーム,,,600,daytime,2023/1/30,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Kudanshita,S-05,5,九段下,Kudanshita,S-05_01,B3F～B4F,コンコース～６番線ホーム（神保町方）,,,750,daytime,2023/1/12,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Kudanshita,S-05,5,九段下,Kudanshita,S-05_02,B3F～B4F,コンコース～５番線ホーム（神保町方）,,,750,daytime,2023/1/12,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Kudanshita,S-05,5,九段下,Kudanshita,S-05_03,B2F～B4F,改札口～５番線ホーム（市ヶ谷方）,,,1300,daytime,2023/1/13,10:00,16:00,FALSE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Kudanshita,S-05,5,九段下,Kudanshita,S-05_04,B2F～B4F,改札口～６番線ホーム（市ヶ谷方）,,,1300,daytime,2023/1/13,10:00,16:00,FALSE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Jimbocho,S-06,6,神保町,Jimbocho,S-06_02,B1F～B2F,２番線ホーム～連絡ホール,,,750,daytime,2023/1/10,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Jimbocho,S-06,6,神保町,Jimbocho,S-06_03,B1F～B2F,１番線ホーム～連絡ホール,,,750,daytime,2023/1/10,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Jimbocho,S-06,6,神保町,Jimbocho,S-06_04,B1F～B2F～B3F,新宿線１番線ホーム～改札口～３・４番線ホーム,,,750,daytime,2023/1/5,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Ogawamachi,S-07,7,小川町,Ogawamachi,S-07_01,1F～B2F,A6地上出入口～改札口,,,750,daytime,2023/1/13,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Ogawamachi,S-07,7,小川町,Ogawamachi,S-07_02,B2F～B4F,改札口～ホーム,,,750,daytime,2023/1/13,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Ogawamachi,S-07,7,小川町,Ogawamachi,S-07_03,B1F～B2F,コンコース～コンコース,,,750,daytime,2023/1/12,10:00,16:00,FALSE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Iwamotocho,S-08,8,岩本町,Iwamotocho,S-08_01,1F～B1F,A6地上出入口～改札口,,,750,daytime,2023/1/18,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Iwamotocho,S-08,8,岩本町,Iwamotocho,S-08_02,B1F～B3F,改札口～１・２番線ホーム,,,750,daytime,2023/1/18,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Iwamotocho,S-08,8,岩本町,Iwamotocho,S-08_03,B1F～B3F,改札口～３・４番線ホーム,,,750,daytime,2023/1/18,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.BakuroYokoyama,S-09,9,馬喰横山,Bakuro-yokoyama,S-09_01,1F～B1F,A4地上出入口～浅草線連絡通路,,,750,daytime,2023/1/27,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.BakuroYokoyama,S-09,9,馬喰横山,Bakuro-yokoyama,S-09_02,B1F～B2F～B3F,改札口～連絡ホール～１番線ホーム,,,1000,daytime,2023/1/23,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.BakuroYokoyama,S-09,9,馬喰横山,Bakuro-yokoyama,S-09_03,B2F～B3F,連絡ホール～２番線ホーム,,,750,daytime,2023/1/23,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Hamacho,S-10,10,浜町,Hamacho,S-10_01,1F～B1F,A2地上出入口～改札口,,,750,daytime,2023/1/13,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Hamacho,S-10,10,浜町,Hamacho,S-10_02,B1F～B3F,改札口～ホーム,,,750,daytime,2023/1/13,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Morishita,S-11,11,森下,Morishita,S-11_01,1F～B1F,A3地上出入口～改札口,,,1350,daytime,2023/1/23,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Morishita,S-11,11,森下,Morishita,S-11_02,B1F～B2F,改札口～新宿線ホーム,,,1000,daytime,2023/1/11,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Kikukawa,S-12,12,菊川,Kikukawa,S-12_01,1F～B1F,A3地上出入口～改札口,,,750,daytime,2023/1/20,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Kikukawa,S-12,12,菊川,Kikukawa,S-12_02,B1F～B2F,改札口～ホーム,,,750,daytime,2023/1/20,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.NishiOjima,S-14,14,西大島,Nishi-ojima,S-14_01,1F～B1F,A4地上出入口～改札口,,,750,daytime,2023/1/20,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.NishiOjima,S-14,14,西大島,Nishi-ojima,S-14_02,B1F～B2F,改札口～ホーム,,,750,daytime,2023/1/20,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Ojima,S-15,15,大島,Ojima,S-15_01,1F～B1F,A4地上出入口～改札口,,,1000,daytime,2023/1/16,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Ojima,S-15,15,大島,Ojima,S-15_02,B1F～B2F,改札口～１・２番線ホーム,,,750,daytime,2023/1/16,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Ojima,S-15,15,大島,Ojima,S-15_03,B1F～B2F,改札口～３・４番線ホーム,,,750,daytime,2023/1/16,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.HigashiOjima,S-16,16,東大島,Higashi-ojima,S-16_01,1F～2F,地上出入口(大島口)～改札口,,,750,daytime,2023/1/17,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.HigashiOjima,S-16,16,東大島,Higashi-ojima,S-16_02,2F～3F,改札口(大島口)～１番線ホーム,,,750,daytime,2023/1/17,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.HigashiOjima,S-16,16,東大島,Higashi-ojima,S-16_03,2F～3F,改札口(大島口)～２番線ホーム,,,750,daytime,2023/1/17,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.HigashiOjima,S-16,16,東大島,Higashi-ojima,S-16_04,1F～3F,改札口(小松川口)～１番線ホーム,,,750,daytime,2023/1/17,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.HigashiOjima,S-16,16,東大島,Higashi-ojima,S-16_05,1F～3F,改札口(小松川口)～２番線ホーム,,,750,daytime,2023/1/17,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Funabori,S-17,17,船堀,Funabori,S-17_01,1F～2F,改札口～１番線ホーム,,,750,daytime,2023/1/11,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Funabori,S-17,17,船堀,Funabori,S-17_02,1F～2F,改札口～２番線ホーム,,,750,daytime,2023/1/11,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Ichinoe,S-18,18,一之江,Ichinoe,S-18_01,1F～B1F,A2地上出入口～改札口,,,750,daytime,2023/1/10,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Ichinoe,S-18,18,一之江,Ichinoe,S-18_02,B1F～B2F,改札口～ホーム,,,750,daytime,2023/1/10,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Ichinoe,S-18,18,一之江,Ichinoe,S-18_03,1F～B1F,A0地上出入口～改札口　　　　　　　　　,,,750,daytime,2023/1/6,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Shinozaki,S-20,20,篠崎,Shinozaki,S-20_01,1F～B1F,地上出入口(南口)～改札口,,,750,daytime,2023/1/18,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Shinozaki,S-20,20,篠崎,Shinozaki,S-20_02,B1F～B2F,改札口～ホーム,,,750,daytime,2023/1/18,10:00,16:00,TRUE
Toei.Shinjuku,S,新宿線,Shinjuku Line,Toei.Shinjuku.Motoyawata,S-21,21,本八幡,Motoyawata,S-21_02,B1F～B3F,改札口～ホーム,,,750,daytime,2023/1/18,10:00,16:00,TRUE
